iter	Passed	Remaining
1429	8885	3541
1430	8891	3535
1431	8897	3529
1432	8902	3522
1433	8910	3516
1434	8914	3509
1435	8919	3503
1436	8930	3498
1437	8937	3493
1438	8946	3487
1439	8953	3481
1440	8960	3476
1441	8966	3469
1442	8973	3463
1443	8980	3457
1444	8986	3451
1445	8995	3446
1446	9001	3440
1447	9009	3434
1448	9014	3427
1449	9019	3421
1450	9026	3415
1451	9032	3408
1452	9039	3403
1453	9046	3396
1454	9054	3391
1455	9064	3386
1456	9072	3381
1457	9079	3375
1458	9086	3369
1459	9092	3363
1460	9097	3356
1461	9104	3350
1462	9109	3343
1463	9113	3336
1464	9118	3330
1465	9124	3323
1466	9128	3316
1467	9134	3310
1468	9139	3303
1469	9143	3296
1470	9149	3290
1471	9157	3284
1472	9161	3277
1473	9168	3271
1474	9173	3265
1475	9177	3258
1476	9183	3251
1477	9188	3245
1478	9193	3238
1479	9199	3232
1480	9204	3225
1481	9210	3219
1482	9216	3213
1483	9222	3206
1484	9227	3200
1485	9234	3194
1486	9238	3187
1487	9244	3180
1488	9250	3174
1489	9255	3167
1490	9259	3160
1491	9265	3154
1492	9270	3147
1493	9274	3141
1494	9279	3134
1495	9286	3128
1496	9290	3121
1497	9295	3114
1498	9302	3109
1499	9306	3102
1500	9311	3095
1501	9317	3089
1502	9323	3083
1503	9329	3076
1504	9334	3070
1505	9338	3063
1506	9344	3057
1507	9351	3050
1508	9357	3044
1509	9365	3039
1510	9371	3032
1511	9378	3027
1512	9388	3021
1513	9396	3016
1514	9403	3010
1515	9412	3004
1516	9419	2998
1517	9424	2992
1518	9433	2987
1519	9440	2981
1520	9451	2976
1521	9462	2971
1522	9477	2968
1523	9488	2963
1524	9499	2958
1525	9513	2954
1526	9520	2949
1527	9532	2944
1528	9541	2939
1529	9549	2933
1530	9559	2928
1531	9571	2923
1532	9580	2918
1533	9585	2911
1534	9599	2907
1535	9609	2902
1536	9617	2897
1537	9627	2892
1538	9636	2886
1539	9646	2881
1540	9656	2876
1541	9666	2870
1542	9676	2866
1543	9683	2859
1544	9693	2854
1545	9703	2849
1546	9716	2845
1547	9728	2840
1548	9740	2835
1549	9749	2830
1550	9762	2826
1551	9775	2821
1552	9782	2815
1553	9794	2810
1554	9804	2805
1555	9812	2799
1556	9820	2794
1557	9827	2787
1558	9835	2782
1559	9842	2776
1560	9847	2769
1561	9852	2762
1562	9858	2756
1563	9863	2749
1564	9868	2743
1565	9875	2736
1566	9880	2730
1567	9887	2724
1568	9892	2717
1569	9896	2710
1570	9903	2704
1571	9908	2697
1572	9914	2691
1573	9921	2685
1574	9926	2678
1575	9931	2671
1576	9939	2666
1577	9945	2659
1578	9952	2653
1579	9958	2647
1580	9963	2640
1581	9970	2634
1582	9976	2628
1583	9982	2621
1584	9988	2615
1585	9993	2608
1586	10002	2602
1587	10007	2596
1588	10013	2589
1589	10021	2584
1590	10028	2577
1591	10036	2572
1592	10042	2565
1593	10051	2560
1594	10059	2554
1595	10065	2547
1596	10072	2541
1597	10078	2535
1598	10086	2529
1599	10090	2522
1600	10096	2516
1601	10105	2510
1602	10111	2504
1603	10118	2498
1604	10124	2491
1605	10132	2485
1606	10138	2479
1607	10144	2473
1608	10153	2467
1609	10158	2460
1610	10167	2455
1611	10173	2448
1612	10181	2442
1613	10187	2436
1614	10195	2430
1615	10203	2424
1616	10207	2417
1617	10212	2411
1618	10218	2404
1619	10222	2397
1620	10229	2391
1621	10234	2385
1622	10238	2378
1623	10243	2371
1624	10249	2365
1625	10256	2359
1626	10263	2352
1627	10267	2346
1628	10273	2339
1629	10281	2333
1630	10285	2327
1631	10289	2320
1632	10296	2314
1633	10302	2307
1634	10307	2301
1635	10313	2294
1636	10318	2288
1637	10322	2281
1638	10329	2275
1639	10334	2268
1640	10340	2262
1641	10348	2256
1642	10353	2249
1643	10360	2243
1644	10365	2237
1645	10370	2230
1646	10377	2224
1647	10383	2217
1648	10388	2211
1649	10395	2205
1650	10401	2198
1651	10409	2192
1652	10415	2186
1653	10420	2179
1654	10429	2174
1655	10435	2167
1656	10443	2161
1657	10450	2155
1658	10456	2149
1659	10464	2143
1660	10470	2136
1661	10479	2131
1662	10486	2125
1663	10495	2119
1664	10503	2113
1665	10512	2107
1666	10518	2101
1667	10528	2095
1668	10535	2089
1669	10545	2083
1670	10551	2077
1671	10560	2071
1672	10566	2065
1673	10576	2059
1674	10583	2053
